Index	Phase	X	Y	Euler1	Euler2	Euler3	MAD	BC	BS	Bands	Error	ReliabilityIndex	
63872	1	72.6	90	359.52	44.490	41.175	0.8948	78	0	8	0	0.0000	
63873	1	73.2	90	1.8186	45.273	46.732	0.7328	88	0	8	0	0.0000	
63874	1	73.8	90	1.9419	45.489	47.267	0.9797	90	0	8	0	0.0000	
63875	0	74.4	90	0.0000	0.0000	0.0000	0.0000	63	0	0	3	1.0000	
63876	1	75	90	142.49	50.617	48.330	0.5800	97	0	8	0	0.0000	
63877	1	75.6	90	142.49	50.591	48.332	0.6904	104	0	8	0	0.0000	
63878	1	76.2	90	142.54	50.566	47.961	0.5224	111	0	8	0	0.0000	
63879	0	76.8	90	0.0000	0.0000	0.0000	0.0000	111	0	0	3	1.0000	
63880	1	77.4	90	142.27	51.157	47.681	0.4467	125	0	8	0	0.0000	
63881	1	78	90	142.08	51.962	48.064	0.7532	117	0	8	0	0.0000	
63882	1	78.6	90	142.01	51.640	48.218	0.7728	117	0	8	0	0.0000	
63883	1	79.2	90	142.23	51.585	48.064	0.7590	114	0	8	0	0.0000	
63884	1	79.8	90	142.02	51.579	48.175	0.5668	111	0	8	0	0.0000	
63885	1	80.4	90	142.09	51.633	48.093	0.5958	107	0	8	0	0.0000	
63886	1	81	90	142.12	51.694	48.034	0.5946	113	0	8	0	0.0000	
63887	0	81.6	90	0.0000	0.0000	0.0000	0.0000	110	0	0	3	1.0000	
63888	1	82.2	90	38.441	34.136	42.872	0.6666	79	0	8	0	0.0000	
63889	1	82.8	90	38.148	33.758	43.023	0.5208	90	0	8	0	0.0000	
63890	0	83.4	90	0.0000	0.0000	0.0000	0.0000	82	0	0	3	1.0000	
63891	0	84	90	0.0000	0.0000	0.0000	0.0000	87	0	0	3	1.0000	
63892	2	84.6	90	260.09	18.274	5.0891	1.0175	99	0	8	0	0.0000	
63893	0	85.2	90	0.0000	0.0000	0.0000	0.0000	82	0	0	3	1.0000	
63894	1	85.8	90	38.376	33.966	42.323	0.6008	89	0	8	0	0.0000	
63895	1	86.4	90	38.426	34.038	42.401	0.7110	110	0	8	0	0.0000	
63896	1	87	90	38.727	34.004	42.504	0.4448	109	0	8	0	0.0000	
63897	1	87.6	90	38.263	33.922	42.950	0.6163	100	0	8	0	0.0000	
63898	1	88.2	90	38.147	33.741	43.060	0.5499	101	0	8	0	0.0000	
63899	1	88.8	90	38.514	33.851	42.673	0.7653	99	0	8	0	0.0000	
63900	1	89.4	90	38.363	34.296	42.720	0.4876	102	0	8	0	0.0000	
63901	1	90	90	38.189	34.140	42.725	0.6776	99	0	8	0	0.0000	
63902	0	90.6	90	0.0000	0.0000	0.0000	0.0000	46	0	0	3	1.0000	
63903	1	91.2	90	38.336	34.364	42.497	0.5973	108	0	8	0	0.0000	
63904	1	91.8	90	37.974	34.076	42.930	0.6433	102	0	8	0	0.0000	
63905	1	92.4	90	37.937	34.137	43.424	0.6532	105	0	8	0	0.0000	
63906	1	93	90	38.524	34.370	42.404	0.7394	106	0	8	0	0.0000	
63907	1	93.6	90	126.16	6.3992	83.785	0.3819	95	0	8	0	0.0000	
63908	1	94.2	90	126.09	6.5357	83.881	0.5407	114	0	8	0	0.0000	
63909	1	94.8	90	127.84	6.4056	82.171	0.5687	117	0	8	0	0.0000	
63910	1	95.4	90	128.72	6.3602	81.174	0.4862	110	0	8	0	0.0000	
63911	0	96	90	0.0000	0.0000	0.0000	0.0000	84	0	0	3	1.0000	
63912	0	96.6	90	0.0000	0.0000	0.0000	0.0000	41	0	0	3	1.0000	
63913	1	97.2	90	341.39	46.883	40.566	0.7214	39	0	8	0	0.0000	
63914	0	97.8	90	0.0000	0.0000	0.0000	0.0000	56	0	0	3	1.0000	
63915	0	98.4	90	0.0000	0.0000	0.0000	0.0000	38	0	0	3	1.0000	
63916	0	99	90	0.0000	0.0000	0.0000	0.0000	41	0	0	3	1.0000	
63917	0	99.6	90	0.0000	0.0000	0.0000	0.0000	50	0	0	3	1.0000	
63918	1	100.2	90	127.12	6.7866	82.337	0.5340	119	0	8	0	0.0000	
63919	1	100.8	90	126.90	6.8278	82.562	0.5344	116	0	8	0	0.0000	
63920	1	101.4	90	126.40	7.0632	82.680	0.6212	93	0	8	0	0.0000	
63921	1	102	90	27.380	25.768	75.835	0.4332	101	0	8	0	0.0000	
63922	1	102.6	90	27.206	25.725	75.974	0.4218	100	0	8	0	0.0000	
63923	1	103.2	90	27.364	26.147	76.000	0.4771	111	0	8	0	0.0000	
63924	1	103.8	90	27.973	25.927	74.919	0.7391	103	0	8	0	0.0000	
63925	1	104.4	90	27.982	25.941	74.908	0.9356	110	0	8	0	0.0000	
63926	1	105	90	27.737	25.883	75.597	0.5985	113	0	8	0	0.0000	
63927	1	105.6	90	28.106	25.786	74.973	0.5932	104	0	8	0	0.0000	
63928	1	106.2	90	28.503	25.693	74.346	0.6954	102	0	8	0	0.0000	
63929	1	106.8	90	28.330	25.697	74.780	0.7959	100	0	8	0	0.0000	
63930	1	107.4	90	28.284	26.079	74.487	0.9051	96	0	8	0	0.0000	
63931	1	108	90	28.841	26.089	73.736	0.8934	98	0	8	0	0.0000	
63932	1	108.6	90	28.401	25.615	74.639	1.0116	107	0	8	0	0.0000	
63933	1	109.2	90	28.453	25.477	74.392	0.8662	113	0	8	0	0.0000	
63934	1	109.8	90	28.578	25.806	74.239	0.9964	107	0	8	0	0.0000	
63935	1	110.4	90	29.326	25.614	73.144	0.6789	110	0	8	0	0.0000	
63936	1	111	90	28.607	25.341	74.334	0.7949	104	0	8	0	0.0000	
63937	1	111.6	90	29.171	25.636	73.807	0.8905	103	0	8	0	0.0000	
63938	1	112.2	90	29.387	25.796	73.561	0.6629	110	0	8	0	0.0000	
63939	1	112.8	90	29.798	25.836	72.868	0.6510	107	0	8	0	0.0000	
63940	1	113.4	90	29.004	25.649	73.971	0.7118	103	0	8	0	0.0000	
63941	1	114	90	29.807	25.948	72.841	0.7767	103	0	8	0	0.0000	
63942	1	114.6	90	29.868	26.009	72.693	0.8095	110	0	8	0	0.0000	
63943	1	115.2	90	29.896	25.557	72.762	0.7497	103	0	8	0	0.0000	
63944	1	115.8	90	29.369	25.520	73.615	0.7330	104	0	8	0	0.0000	
63945	1	116.4	90	30.007	25.680	72.311	0.7706	103	0	8	0	0.0000	
63946	1	117	90	29.948	25.512	72.904	0.5384	99	0	8	0	0.0000	
63947	1	117.6	90	29.478	25.614	73.046	0.5587	101	0	8	0	0.0000	
63948	1	118.2	90	28.438	25.106	74.926	0.9987	109	0	8	0	0.0000	
63949	1	118.8	90	29.666	25.589	72.902	0.5926	106	0	8	0	0.0000	
63950	1	119.4	90	29.146	25.674	73.720	0.6926	107	0	8	0	0.0000	
63951	1	120	90	29.066	25.410	74.049	0.8878	110	0	8	0	0.0000	
63952	1	120.6	90	29.885	25.583	73.127	0.7225	92	0	8	0	0.0000	
63953	0	121.2	90	0.0000	0.0000	0.0000	0.0000	87	0	0	3	1.0000	
63954	0	121.8	90	0.0000	0.0000	0.0000	0.0000	91	0	0	3	1.0000	
63955	0	122.4	90	0.0000	0.0000	0.0000	0.0000	80	0	0	3	1.0000	
63956	1	123	90	154.49	9.6829	70.082	0.3545	89	0	8	0	0.0000	
63957	1	123.6	90	28.481	25.681	74.592	0.7476	89	0	8	0	0.0000	
63958	1	124.2	90	28.622	25.982	74.189	0.7640	95	0	8	0	0.0000	
63959	0	124.8	90	0.0000	0.0000	0.0000	0.0000	64	0	0	3	1.0000	
63960	1	125.4	90	18.547	18.258	22.828	0.5341	93	0	8	0	0.0000	
63961	0	126	90	0.0000	0.0000	0.0000	0.0000	100	0	0	3	1.0000	
63962	1	126.6	90	17.958	18.006	23.375	0.6362	93	0	8	0	0.0000	
63963	1	127.2	90	17.781	17.909	23.460	0.5416	93	0	8	0	0.0000	
63964	0	127.8	90	0.0000	0.0000	0.0000	0.0000	63	0	0	3	1.0000	
63965	1	128.4	90	28.211	25.959	74.889	0.4615	85	0	8	0	0.0000	
63966	1	129	90	32.802	31.283	36.127	0.6980	92	0	8	0	0.0000	
63967	1	129.6	90	32.977	31.075	36.052	0.4580	113	0	8	0	0.0000	
63968	1	130.2	90	32.809	31.164	36.115	0.5047	113	0	8	0	0.0000	
63969	1	130.8	90	33.134	31.099	35.974	0.4257	111	0	8	0	0.0000	
63970	1	131.4	90	33.093	31.035	36.044	0.6038	108	0	8	0	0.0000	
63971	1	132	90	33.130	31.040	36.019	0.4227	107	0	8	0	0.0000	
63972	0	132.6	90	0.0000	0.0000	0.0000	0.0000	109	0	0	3	1.0000	
63973	0	133.2	90	0.0000	0.0000	0.0000	0.0000	99	0	0	3	1.0000	
63974	1	133.8	90	33.022	31.220	36.123	0.4395	112	0	8	0	0.0000	
63975	1	134.4	90	32.998	31.059	36.178	0.6963	110	0	8	0	0.0000	
63976	0	135	90	0.0000	0.0000	0.0000	0.0000	114	0	0	3	1.0000	
63977	1	135.6	90	32.802	31.077	36.066	0.4900	104	0	8	0	0.0000	
63978	1	136.2	90	33.117	31.037	36.050	0.7724	102	0	8	0	0.0000	
63979	1	136.8	90	33.349	31.614	35.876	0.6813	90	0	8	0	0.0000	
63980	1	137.4	90	183.10	31.506	19.516	0.5590	54	0	8	0	0.0000	
63981	0	138	90	0.0000	0.0000	0.0000	0.0000	22	0	0	3	1.0000	
63982	0	138.6	90	0.0000	0.0000	0.0000	0.0000	49	0	0	3	1.0000	
63983	1	139.2	90	176.01	50.536	45.277	0.3900	93	0	8	0	0.0000	
63984	1	139.8	90	175.83	50.488	45.244	0.4051	92	0	8	0	0.0000	
63985	1	140.4	90	176.22	50.292	44.798	0.6235	81	0	8	0	0.0000	
63986	0	141	90	0.0000	0.0000	0.0000	0.0000	61	0	0	3	1.0000	
63987	0	141.6	90	0.0000	0.0000	0.0000	0.0000	50	0	0	3	1.0000	
63988	1	142.2	90	334.17	37.810	12.792	0.4993	96	0	8	0	0.0000	
63989	1	142.8	90	334.36	37.856	12.480	0.4614	105	0	8	0	0.0000	
63990	1	143.4	90	334.39	38.215	12.680	0.5120	106	0	8	0	0.0000	
63991	0	144	90	0.0000	0.0000	0.0000	0.0000	68	0	0	3	1.0000	
63992	1	144.6	90	176.36	51.063	44.375	0.7127	74	0	8	0	0.0000	
63993	1	145.2	90	176.22	50.845	44.348	0.6971	81	0	8	0	0.0000	
63994	1	145.8	90	176.39	51.058	44.218	0.9120	82	0	8	0	0.0000	
63995	0	146.4	90	0.0000	0.0000	0.0000	0.0000	73	0	0	3	1.0000	
63996	1	147	90	333.20	37.793	13.857	0.7467	96	0	8	0	0.0000	
63997	1	147.6	90	332.76	37.731	14.440	0.5423	106	0	8	0	0.0000	
63998	1	148.2	90	333.09	37.925	14.476	0.7601	107	0	8	0	0.0000	
63999	1	148.8	90	333.57	37.851	13.634	0.4449	100	0	8	0	0.0000	
64000	1	149.4	90	177.54	50.518	43.682	0.7048	91	0	8	0	0.0000	
64001	1	150	90	177.63	50.682	43.727	0.4315	93	0	8	0	0.0000	
64002	1	150.6	90	185.11	20.146	17.750	0.5103	78	0	8	0	0.0000	
64003	1	151.2	90	184.81	20.289	17.866	0.5167	90	0	8	0	0.0000	
64004	1	151.8	90	184.93	20.200	17.911	0.6416	107	0	8	0	0.0000	
64005	1	152.4	90	184.94	20.215	17.916	0.6287	102	0	8	0	0.0000	
64006	1	153	90	184.07	20.831	18.733	0.8621	78	0	8	0	0.0000	
64007	1	153.6	90	333.10	38.980	14.228	0.7341	104	0	8	0	0.0000	
64008	1	154.2	90	333.18	38.605	14.228	0.6749	94	0	8	0	0.0000	
64009	1	154.8	90	333.43	38.536	13.530	0.5974	87	0	8	0	0.0000	
64010	1	155.4	90	333.43	38.837	14.004	0.6831	98	0	8	0	0.0000	
64011	1	156	90	333.13	38.634	14.117	0.7136	104	0	8	0	0.0000	
64012	0	156.6	90	0.0000	0.0000	0.0000	0.0000	101	0	0	3	1.0000	
64013	1	157.2	90	333.22	38.953	14.181	0.6759	107	0	8	0	0.0000	
64014	1	157.8	90	332.95	39.009	14.408	0.6940	100	0	8	0	0.0000	
64015	0	158.4	90	0.0000	0.0000	0.0000	0.0000	64	0	0	3	1.0000	
64016	1	159	90	159.30	46.169	31.681	0.4479	105	0	8	0	0.0000	
64017	1	159.6	90	159.35	46.160	31.511	0.5298	115	0	8	0	0.0000	
64018	1	160.2	90	159.47	46.322	31.490	0.5441	123	0	8	0	0.0000	
64019	1	160.8	90	159.59	46.155	31.582	0.4766	116	0	8	0	0.0000	
64020	1	161.4	90	159.99	46.219	31.433	0.7330	117	0	8	0	0.0000	
64021	1	162	90	159.53	46.567	31.632	0.5465	116	0	8	0	0.0000	
64022	1	162.6	90	160.02	46.339	31.404	0.7077	115	0	8	0	0.0000	
64023	1	163.2	90	160.71	45.912	30.395	0.7715	113	0	8	0	0.0000	
64024	0	163.8	90	0.0000	0.0000	0.0000	0.0000	44	0	0	3	1.0000	
64025	0	164.4	90	0.0000	0.0000	0.0000	0.0000	92	0	0	3	1.0000	
64026	0	165	90	0.0000	0.0000	0.0000	0.0000	105	0	0	3	1.0000	
64027	0	165.6	90	0.0000	0.0000	0.0000	0.0000	107	0	0	3	1.0000	
64028	0	166.2	90	0.0000	0.0000	0.0000	0.0000	98	0	0	3	1.0000	
64029	1	166.8	90	161.11	45.452	27.556	0.8889	102	0	8	0	0.0000	
64030	0	167.4	90	0.0000	0.0000	0.0000	0.0000	97	0	0	3	1.0000	
64031	1	168	90	161.15	45.713	27.467	0.6337	100	0	8	0	0.0000	
64032	0	168.6	90	0.0000	0.0000	0.0000	0.0000	73	0	0	3	1.0000	
64033	0	169.2	90	0.0000	0.0000	0.0000	0.0000	29	0	0	3	1.0000	
64034	0	169.8	90	0.0000	0.0000	0.0000	0.0000	66	0	0	3	1.0000	
64035	1	170.4	90	211.82	53.131	48.310	0.6693	115	0	8	0	0.0000	
64036	1	171	90	335.13	52.939	41.666	0.9357	122	0	8	0	0.0000	
64037	1	171.6	90	335.66	53.124	41.617	0.7065	121	0	8	0	0.0000	
64038	1	172.2	90	335.83	53.247	41.790	0.6836	113	0	8	0	0.0000	
64039	1	172.8	90	215.13	5.9731	9.5221	0.8783	102	0	8	0	0.0000	
64040	0	173.4	90	0.0000	0.0000	0.0000	0.0000	103	0	0	3	1.0000	
64041	1	174	90	206.68	5.4429	17.600	0.8953	107	0	8	0	0.0000	
64042	1	174.6	90	212.76	5.7646	12.112	1.0536	115	0	8	0	0.0000	
64043	1	175.2	90	207.23	5.4553	16.983	0.8930	115	0	8	0	0.0000	
64044	1	175.8	90	209.91	5.6107	14.659	0.8745	118	0	8	0	0.0000	
64045	0	176.4	90	0.0000	0.0000	0.0000	0.0000	49	0	0	3	1.0000	
64046	1	177	90	191.06	31.404	56.488	0.4772	93	0	8	0	0.0000	
64047	1	177.6	90	298.57	16.730	84.703	0.3466	95	0	8	0	0.0000	
64048	0	178.2	90	0.0000	0.0000	0.0000	0.0000	71	0	0	3	1.0000	
64049	1	178.8	90	192.24	44.921	46.518	0.5005	95	0	8	0	0.0000	
64050	1	179.4	90	193.71	44.814	45.424	0.2897	108	0	8	0	0.0000	
64051	1	180	90	193.82	44.814	45.316	0.4934	105	0	8	0	0.0000	
64052	1	180.6	90	194.81	45.055	44.741	0.5791	108	0	8	0	0.0000	
64053	1	181.2	90	194.06	44.805	45.024	0.5193	112	0	8	0	0.0000	
64054	1	181.8	90	193.87	44.914	45.014	0.5843	119	0	8	0	0.0000	
64055	1	182.4	90	193.63	44.691	45.422	0.4231	104	0	8	0	0.0000	
64056	1	183	90	193.54	44.688	45.356	0.8106	108	0	8	0	0.0000	
64057	1	183.6	90	193.89	44.582	45.289	0.4870	102	0	8	0	0.0000	
64058	1	184.2	90	193.89	44.747	45.045	0.4733	86	0	8	0	0.0000	
64059	1	184.8	90	193.88	44.550	45.353	0.4273	64	0	8	0	0.0000	
64060	1	185.4	90	194.14	44.563	44.991	0.5210	103	0	8	0	0.0000	
64061	1	186	90	194.05	44.487	45.076	0.4970	109	0	8	0	0.0000	
64062	1	186.6	90	194.04	44.535	45.199	0.5983	107	0	8	0	0.0000	
64063	1	187.2	90	193.87	44.574	45.015	0.4618	89	0	8	0	0.0000	
64064	1	187.8	90	193.89	44.697	45.123	0.5785	101	0	8	0	0.0000	
64065	1	188.4	90	194.07	44.726	44.948	0.4880	101	0	8	0	0.0000	
64066	1	189	90	355.34	20.562	34.755	0.6266	84	0	8	0	0.0000	
64067	1	189.6	90	354.66	20.560	34.856	0.5210	103	0	8	0	0.0000	
64068	0	190.2	90	0.0000	0.0000	0.0000	0.0000	57	0	0	3	1.0000	
64069	0	190.8	90	0.0000	0.0000	0.0000	0.0000	58	0	0	3	1.0000	
64070	1	191.4	90	356.35	20.656	32.966	0.5244	112	0	8	0	0.0000	
64071	1	192	90	356.05	20.576	33.526	0.5668	119	0	8	0	0.0000	
64072	1	192.6	90	355.09	20.567	34.524	0.5278	111	0	8	0	0.0000	
64073	1	193.2	90	355.31	20.612	33.996	0.5838	94	0	8	0	0.0000	
64074	1	193.8	90	355.62	20.593	34.490	0.3931	106	0	8	0	0.0000	
64075	1	194.4	90	356.15	20.666	33.415	0.5657	117	0	8	0	0.0000	
64076	1	195	90	357.49	20.575	31.789	0.5477	105	0	8	0	0.0000	
64077	1	195.6	90	356.30	20.726	33.512	0.5555	115	0	8	0	0.0000	
64078	1	196.2	90	356.06	20.868	33.823	0.5390	104	0	8	0	0.0000	
